127.0.0.1 - - [08/Sep/2023:23:03:51 -0300] "GET / HTTP/1.1" 404 764
0:0:0:0:0:0:0:1 - - [08/Sep/2023:23:03:54 -0300] "GET /NewLohane/PG_Principal/index.html HTTP/1.1" 200 12374
0:0:0:0:0:0:0:1 - - [08/Sep/2023:23:03:55 -0300] "GET /NewLohane/PG_Principal/style.css HTTP/1.1" 200 5520
0:0:0:0:0:0:0:1 - - [08/Sep/2023:23:03:56 -0300] "GET /NewLohane/PG_Principal/roupaCapa/IMG-20230423-WA0008.jpg HTTP/1.1" 200 262961
0:0:0:0:0:0:0:1 - - [08/Sep/2023:23:03:56 -0300] "GET /NewLohane/PG_Principal/roupaCapa/IMG-20230423-WA0007.jpg HTTP/1.1" 200 352833
0:0:0:0:0:0:0:1 - - [08/Sep/2023:23:03:56 -0300] "GET /NewLohane/PG_Principal/roupaCapa/IMG-20230423-WA0009.jpg HTTP/1.1" 200 57501
0:0:0:0:0:0:0:1 - - [08/Sep/2023:23:03:56 -0300] "GET /NewLohane/PG_Principal/roupaCapa/IMG-20230423-WA0004.jpg HTTP/1.1" 200 181727
0:0:0:0:0:0:0:1 - - [08/Sep/2023:23:03:56 -0300] "GET /NewLohane/PG_Principal/roupaCapa/IMG-20230423-WA0006.jpg HTTP/1.1" 200 375138
0:0:0:0:0:0:0:1 - - [08/Sep/2023:23:03:56 -0300] "GET /NewLohane/PG_Principal/roupaCapa/IMG-20230423-WA0005.jpg HTTP/1.1" 200 314363
0:0:0:0:0:0:0:1 - - [08/Sep/2023:23:03:56 -0300] "GET /NewLohane/PG_Principal/roupaCapa/Capa1.1.jpg HTTP/1.1" 200 36860
0:0:0:0:0:0:0:1 - - [08/Sep/2023:23:03:57 -0300] "GET /NewLohane/PG_Principal/roupasSite/roup1.jpg HTTP/1.1" 200 243369
0:0:0:0:0:0:0:1 - - [08/Sep/2023:23:03:57 -0300] "GET /NewLohane/PG_Principal/roupasSite/roup2.jpg HTTP/1.1" 200 419257
0:0:0:0:0:0:0:1 - - [08/Sep/2023:23:03:57 -0300] "GET /NewLohane/PG_Principal/roupasSite/roup3.jpg HTTP/1.1" 200 792876
0:0:0:0:0:0:0:1 - - [08/Sep/2023:23:03:57 -0300] "GET /NewLohane/PG_Principal/roupasSite/roup4.jpg HTTP/1.1" 200 558309
0:0:0:0:0:0:0:1 - - [08/Sep/2023:23:03:57 -0300] "GET /NewLohane/PG_Principal/roupasSite/roup5.jpg HTTP/1.1" 200 348626
0:0:0:0:0:0:0:1 - - [08/Sep/2023:23:03:57 -0300] "GET /NewLohane/PG_Principal/roupasSite/roup7.jpg HTTP/1.1" 200 372238
0:0:0:0:0:0:0:1 - - [08/Sep/2023:23:03:57 -0300] "GET /NewLohane/PG_Principal/roupasSite/roup8.jpg HTTP/1.1" 200 690078
0:0:0:0:0:0:0:1 - - [08/Sep/2023:23:03:58 -0300] "GET /NewLohane/PG_Principal/roupasSite/roup11.jpg HTTP/1.1" 200 409556
0:0:0:0:0:0:0:1 - - [08/Sep/2023:23:03:58 -0300] "GET /NewLohane/PG_Principal/roupasSite/roup9.jpg HTTP/1.1" 200 277382
0:0:0:0:0:0:0:1 - - [08/Sep/2023:23:03:58 -0300] "GET /NewLohane/PG_Principal/roupasSite/roup12.jpg HTTP/1.1" 200 609321
0:0:0:0:0:0:0:1 - - [08/Sep/2023:23:03:58 -0300] "GET /NewLohane/PG_Principal/img%20logos/face.png HTTP/1.1" 200 2580
0:0:0:0:0:0:0:1 - - [08/Sep/2023:23:03:58 -0300] "GET /NewLohane/PG_Principal/img%20logos/wapp.png HTTP/1.1" 200 7839
0:0:0:0:0:0:0:1 - - [08/Sep/2023:23:03:58 -0300] "GET /NewLohane/PG_Principal/img%20logos/insta.png HTTP/1.1" 200 696682
0:0:0:0:0:0:0:1 - - [08/Sep/2023:23:03:58 -0300] "GET /NewLohane/PG_Principal/roupaCapa/capa5.jpg HTTP/1.1" 200 53729
0:0:0:0:0:0:0:1 - - [08/Sep/2023:23:03:58 -0300] "GET /favicon.ico HTTP/1.1" 404 775
0:0:0:0:0:0:0:1 - - [08/Sep/2023:23:04:13 -0300] "POST /NewLohane/Cliente/Entrar.jsp HTTP/1.1" 200 791
0:0:0:0:0:0:0:1 - - [08/Sep/2023:23:04:13 -0300] "POST /NewLohane/Cliente/index.jsp HTTP/1.1" 200 11596
0:0:0:0:0:0:0:1 - - [08/Sep/2023:23:04:13 -0300] "GET /NewLohane/Cliente/style.css HTTP/1.1" 200 5520
0:0:0:0:0:0:0:1 - - [08/Sep/2023:23:04:13 -0300] "GET /NewLohane/Cliente/roupaCapa/IMG-20230423-WA0006.jpg HTTP/1.1" 200 375138
0:0:0:0:0:0:0:1 - - [08/Sep/2023:23:04:13 -0300] "GET /NewLohane/Cliente/roupaCapa/IMG-20230423-WA0004.jpg HTTP/1.1" 200 181727
0:0:0:0:0:0:0:1 - - [08/Sep/2023:23:04:13 -0300] "GET /NewLohane/Cliente/roupaCapa/IMG-20230423-WA0009.jpg HTTP/1.1" 200 57501
0:0:0:0:0:0:0:1 - - [08/Sep/2023:23:04:13 -0300] "GET /NewLohane/Cliente/roupaCapa/IMG-20230423-WA0007.jpg HTTP/1.1" 200 352833
0:0:0:0:0:0:0:1 - - [08/Sep/2023:23:04:13 -0300] "GET /NewLohane/Cliente/roupaCapa/IMG-20230423-WA0008.jpg HTTP/1.1" 200 262961
0:0:0:0:0:0:0:1 - - [08/Sep/2023:23:04:13 -0300] "GET /NewLohane/Cliente/roupasSite/roup1.jpg HTTP/1.1" 200 243369
0:0:0:0:0:0:0:1 - - [08/Sep/2023:23:04:13 -0300] "GET /NewLohane/Cliente/roupasSite/roup2.jpg HTTP/1.1" 200 419257
0:0:0:0:0:0:0:1 - - [08/Sep/2023:23:04:13 -0300] "GET /NewLohane/Cliente/roupaCapa/IMG-20230423-WA0005.jpg HTTP/1.1" 200 314363
0:0:0:0:0:0:0:1 - - [08/Sep/2023:23:04:13 -0300] "GET /NewLohane/Cliente/roupaCapa/capa5.jpg HTTP/1.1" 200 53729
0:0:0:0:0:0:0:1 - - [08/Sep/2023:23:04:13 -0300] "GET /NewLohane/Cliente/roupaCapa/Capa1.1.jpg HTTP/1.1" 200 36860
0:0:0:0:0:0:0:1 - - [08/Sep/2023:23:04:14 -0300] "GET /NewLohane/Cliente/roupasSite/roup3.jpg HTTP/1.1" 200 792876
0:0:0:0:0:0:0:1 - - [08/Sep/2023:23:04:14 -0300] "GET /NewLohane/Cliente/roupasSite/roup4.jpg HTTP/1.1" 200 558309
0:0:0:0:0:0:0:1 - - [08/Sep/2023:23:04:14 -0300] "GET /NewLohane/Cliente/roupasSite/roup5.jpg HTTP/1.1" 200 348626
0:0:0:0:0:0:0:1 - - [08/Sep/2023:23:04:14 -0300] "GET /NewLohane/Cliente/roupasSite/roup7.jpg HTTP/1.1" 200 372238
0:0:0:0:0:0:0:1 - - [08/Sep/2023:23:04:14 -0300] "GET /NewLohane/Cliente/roupasSite/roup8.jpg HTTP/1.1" 200 690078
0:0:0:0:0:0:0:1 - - [08/Sep/2023:23:04:14 -0300] "GET /NewLohane/Cliente/roupasSite/roup11.jpg HTTP/1.1" 200 409556
0:0:0:0:0:0:0:1 - - [08/Sep/2023:23:04:14 -0300] "GET /NewLohane/Cliente/roupasSite/roup9.jpg HTTP/1.1" 200 277382
0:0:0:0:0:0:0:1 - - [08/Sep/2023:23:04:14 -0300] "GET /NewLohane/Cliente/roupasSite/roup12.jpg HTTP/1.1" 200 609321
